Product	Encouter	Enroll	EnAuto	Calc	CalAuto	Attribution	MemberID	EnrollType	Notmeet	Enible	Destination
40	1	1	1	1	2	17	2	3	2	1	2
19	1	3	2	2	1	6	1	1	1	2	1
3	2	2	2	3	2	4	1	2	1	1	4
44	2	2	1	3	1	17	2	2	2	2	5
17	2	3	1	2	2	23	2	1	2	2	3
16	2	1	2	1	1	7	1	3	1	1	6
8	1	1	1	2	1	8	1	2	1	1	3
12	2	3	2	3	2	16	2	3	2	1	1
15	1	2	2	1	1	23	1	3	1	2	2
1	1	1	1	1	2	6	2	1	1	1	5
30	1	3	1	3	2	18	1	2	2	2	6
43	1	1	1	3	1	4	2	1	2	2	2
44	1	1	2	2	2	10	1	3	1	1	4
6	2	3	1	1	2	4	2	2	2	1	1
17	1	2	2	3	1	6	2	3	2	1	4
12	2	2	1	1	1	10	2	1	2	2	3
10	1	2	1	1	1	16	1	1	1	2	4
16	1	2	2	2	2	5	2	3	2	2	5
25	1	1	1	2	2	23	2	1	2	1	6
23	1	1	2	3	2	4	1	3	1	1	3
37	2	3	2	2	1	3	1	2	2	2	2
4	1	1	2	3	2	20	1	1	2	2	1
23	2	2	2	2	1	18	2	1	2	1	5
25	1	3	2	3	2	7	1	2	2	2	5
43	2	2	2	2	2	14	1	2	1	1	1
13	1	2	1	1	2	3	2	3	1	1	6
28	2	1	1	1	1	6	2	2	1	1	6
6	1	1	2	3	1	23	1	1	1	2	4
46	1	3	1	3	1	10	2	2	2	2	2
42	2	1	2	2	1	4	1	3	2	1	6
36	2	3	2	1	1	11	2	2	2	1	4
23	1	3	1	1	2	6	2	2	1	2	2
1	2	3	1	3	1	14	2	3	2	2	4
9	1	2	2	3	1	9	1	3	1	1	6
38	1	2	1	2	2	2	1	3	2	1	2
36	1	2	1	3	2	22	1	3	1	2	2
10	2	2	1	2	2	7	2	1	2	1	2
33	1	1	1	1	1	18	1	3	1	1	4
26	2	3	1	3	2	24	1	1	1	2	6
3	1	1	1	2	1	6	2	1	2	2	3
8	2	3	2	1	2	14	2	1	2	2	2
12	1	1	2	2	1	24	1	2	2	1	4
28	2	3	1	3	2	5	1	1	2	1	2
17	2	1	2	1	1	22	2	2	1	1	6
29	2	3	2	3	2	18	1	1	2	2	1
5	1	2	1	1	2	18	2	1	1	1	2
32	1	2	2	1	1	18	2	1	2	2	3
18	1	1	1	1	1	14	1	1	1	1	6
38	2	3	2	1	1	14	2	2	1	2	3
9	2	1	1	1	2	5	2	2	2	2	3
34	2	2	2	1	2	24	2	3	2	1	1
30	2	2	2	1	1	15	2	3	1	1	2
28	1	2	2	2	2	13	1	3	2	2	5
1	2	3	1	2	2	9	2	2	2	2	3
16	1	3	1	3	2	23	1	2	2	2	1
14	1	3	1	3	1	10	1	3	2	1	6
7	2	1	2	3	1	2	2	1	1	2	3
6	2	2	1	2	2	9	2	1	2	1	2
47	2	1	2	1	1	9	2	2	1	1	5
24	1	3	1	2	2	22	1	1	2	2	5
39	2	3	2	2	1	17	1	1	1	1	6
29	1	2	1	1	1	1	2	3	1	1	3
47	1	2	1	2	2	12	1	3	2	2	1
40	2	2	2	3	1	22	1	1	1	2	4
21	1	2	1	3	2	11	1	1	1	2	1
20	2	3	1	2	1	7	1	2	2	2	1
3	1	3	1	3	1	3	2	3	2	2	5
34	1	1	1	2	1	19	1	1	1	2	3
18	2	2	2	3	1	5	2	3	1	2	1
42	1	3	1	3	2	18	2	2	1	2	5
27	2	3	2	1	2	19	2	3	2	1	2
46	2	1	2	1	2	6	1	3	1	1	6
8	1	1	1	2	1	16	1	2	1	2	6
10	2	3	2	3	1	23	1	3	2	2	5
36	2	1	1	2	1	21	1	1	2	1	6
29	2	1	1	2	2	7	1	2	2	2	4
23	2	2	1	1	1	24	1	2	1	2	6
3	2	2	2	1	2	8	2	3	2	2	2
31	1	2	2	1	2	21	2	2	1	2	4
35	2	1	1	3	1	13	2	1	1	1	2
25	2	2	2	1	1	16	2	3	1	2	3
38	1	1	2	3	1	18	1	1	1	1	1
25	2	1	1	2	2	5	2	1	2	2	4
15	2	3	1	3	2	21	2	3	2	1	5
28	2	2	1	2	2	10	2	2	2	1	1
4	2	2	1	2	1	18	2	3	1	1	2
27	1	2	1	3	1	10	1	1	1	2	5
48	1	2	1	3	1	19	2	2	1	2	4
18	1	3	2	2	2	13	2	2	2	2	4
46	2	2	2	2	2	4	1	1	1	1	5
39	1	2	1	3	2	5	2	3	2	2	3
